Drug,District,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
Cocaine,7,1164481,1861317,2007,41.77506562,-87.67258642,"(41.775066, -87.672586)"
Cannabis,18,1173785,1905531,2009,41.89619135,-87.63716566,"(41.896191, -87.637166)"
Cannabis,4,1196724,1853140,2006,41.75188678,-87.55466106,"(41.751887, -87.554661)"
Heroin,5,1179147,1833778,2011,41.69917348,-87.61966026,"(41.699173, -87.61966)"
Cannabis,5,1176002,1829049,2002,41.68626734,-87.63131689,"(41.686267, -87.631317)"
Cannabis,25,1146430,1917154,2007,41.92865118,-87.73733906,"(41.928651, -87.737339)"
Cannabis,3,1188979,1858278,2012,41.76617475,-87.58287821,"(41.766175, -87.582878)"
Crack,11,1158257,1896590,2004,41.871988,-87.69444137,"(41.871988, -87.694441)"
Cannabis,2,1177861,1867918,2014,41.79288686,-87.62333754,"(41.792887, -87.623338)"
Cocaine,9,1171479,1884120,2011,41.83748901,-87.64626446,"(41.837489, -87.646264)"
Cannabis,10,1151009,1891492,2008,41.85814345,-87.72118541,"(41.858143, -87.721185)"
Crack,5,1173922,1823153,2001,41.67013403,-87.63910527,"(41.670134, -87.639105)"
Cannabis,4,1189862,1854688,2007,41.7563023,-87.57975702,"(41.756302, -87.579757)"
Cannabis,10,1152498,1889138,2016,41.85165454,-87.71578196,"(41.851655, -87.715782)"
Crack,6,1183309,1847474,2007,41.73666131,-87.60399622,"(41.736661, -87.603996)"
Crack,11,1152772,1899305,2006,41.87954852,-87.71450732,"(41.879549, -87.714507)"
Cannabis,15,1141386,1899763,2010,41.881023,-87.75630418,"(41.881023, -87.756304)"
Cannabis,11,1151834,1907327,2012,41.90158021,-87.71774021,"(41.90158, -87.71774)"
Heroin,15,1142855,1905702,2010,41.8972931,-87.75076198,"(41.897293, -87.750762)"
Cannabis,15,1141695,1900395,2006,41.88275158,-87.7551539,"(41.882752, -87.755154)"
Cannabis,3,1182717,1860597,2005,41.77268594,-87.6057585,"(41.772686, -87.605758)"
Heroin,25,1142801,1907992,2012,41.90357812,-87.75090321,"(41.903578, -87.750903)"
Heroin,3,1183094,1862428,2009,41.77770162,-87.60431963,"(41.777702, -87.60432)"
Hallucinogens,15,1140373,1897154,2013,41.8738822,-87.76008789,"(41.873882, -87.760088)"
Heroin,7,1171827,1868252,2007,41.79393801,-87.64545361,"(41.793938, -87.645454)"
Crack,22,1170299,1831362,2004,41.69274022,-87.65212754,"(41.69274, -87.652128)"
Heroin,25,1138775,1907869,2011,41.90331465,-87.76569483,"(41.903315, -87.765695)"
Cannabis,3,1182717,1860597,2008,41.77268594,-87.6057585,"(41.772686, -87.605758)"
Cannabis,11,1153379,1905787,2013,41.89732374,-87.71210618,"(41.897324, -87.712106)"
Cannabis,7,1167646,1866629,2012,41.78957509,-87.66083164,"(41.789575, -87.660832)"
Cannabis,8,1160113,1863142,2010,41.78016465,-87.68854884,"(41.780165, -87.688549)"
Crack,15,1139947,1897650,2002,41.87525108,-87.76163985,"(41.875251, -87.76164)"
Crack,19,1168012,1931605,2008,41.96786629,-87.65761386,"(41.967866, -87.657614)"
Heroin,2,1179479,1866413,2009,41.78872018,-87.61745053,"(41.78872, -87.617451)"
Cocaine,8,1158960,1856500,2012,41.76196168,-87.69295725,"(41.761962, -87.692957)"
Crack,4,1197939,1850303,2012,41.74407158,-87.55030335,"(41.744072, -87.550303)"
Crack,24,1161848,1944950,2008,42.00461662,-87.67990397,"(42.004617, -87.679904)"
Crack,2,1180939,1879246,2002,41.82390151,-87.6117022,"(41.823902, -87.611702)"
Crack,11,1147395,1898656,2002,41.87787228,-87.73426766,"(41.877872, -87.734268)"
Heroin,11,1150448,1894424,2012,41.86620017,-87.72316816,"(41.8662, -87.723168)"
Crack,2,1180462,1882185,2007,41.83197733,-87.61336177,"(41.831977, -87.613362)"
Cannabis,24,1165021,1948908,2011,42.0154104,-87.66811728,"(42.01541, -87.668117)"
Cannabis,7,1164042,1865327,2005,41.78607883,-87.67408304,"(41.786079, -87.674083)"
Crack,15,1144428,1898485,2016,41.87745934,-87.74516618,"(41.877459, -87.745166)"
Crack,3,1179567,1863737,2005,41.78137496,-87.61720958,"(41.781375, -87.61721)"
Cannabis,8,1155741,1852524,2012,41.75111606,-87.70486183,"(41.751116, -87.704862)"
Heroin,12,1154904,1904850,2015,41.89472209,-87.70653018,"(41.894722, -87.70653)"
Cannabis,4,1194537,1835662,2006,41.70397961,-87.56324825,"(41.70398, -87.563248)"
Crack,5,1180128,1834578,2007,41.70134643,-87.61604391,"(41.701346, -87.616044)"
Crack,4,1188597,1853363,2006,41.75269669,-87.58443519,"(41.752697, -87.584435)"
Cannabis,9,1175014,1875989,2003,41.81509852,-87.63353612,"(41.815099, -87.633536)"
Heroin,15,1138862,1900914,2007,41.88422769,-87.76554432,"(41.884228, -87.765544)"
Heroin,4,1189354,1848301,2007,41.73878797,-87.58182314,"(41.738788, -87.581823)"
Heroin,2,1181396,1873802,2004,41.80895221,-87.61019372,"(41.808952, -87.610194)"
Heroin,15,1140666,1901245,2008,41.88510305,-87.75891158,"(41.885103, -87.758912)"
Crack,4,1191543,1854161,2002,41.75481559,-87.57361367,"(41.754816, -87.573614)"
Crack,11,1149472,1899354,2009,41.87974763,-87.72662325,"(41.879748, -87.726623)"
Cannabis,17,1154380,1931719,2010,41.96846319,-87.70773463,"(41.968463, -87.707735)"
Heroin,14,1158611,1908546,2003,41.9047891,-87.69281403,"(41.904789, -87.692814)"
Cannabis,25,1138603,1917892,2001,41.93082202,-87.76608311,"(41.930822, -87.766083)"
Cannabis,2,1181281,1873991,2014,41.8094735,-87.61060968,"(41.809473, -87.61061)"
Crack,15,1142521,1905749,2004,41.89742829,-87.75198756,"(41.897428, -87.751988)"
Cannabis,4,1197321,1846166,2008,41.73273474,-87.55270521,"(41.732735, -87.552705)"
Cannabis,8,1132601,1869161,2012,41.79720373,-87.78927447,"(41.797204, -87.789274)"
Cannabis,6,1169962,1854673,2010,41.75671633,-87.65268654,"(41.756716, -87.652687)"
Cannabis,15,1141335,1901186,2009,41.88492883,-87.75645633,"(41.884929, -87.756456)"
Cannabis,5,1173139,1825780,2007,41.67736022,-87.64189382,"(41.67736, -87.641894)"
Cannabis,7,1173976,1865625,2011,41.78668179,-87.63765133,"(41.786682, -87.637651)"
Heroin,10,1152640,1891619,2012,41.85845989,-87.71519523,"(41.85846, -87.715195)"
Cannabis,11,1154115,1898876,2012,41.87834462,-87.70958745,"(41.878345, -87.709587)"
Cannabis,15,1142927,1903341,2010,41.89081289,-87.75055643,"(41.890813, -87.750556)"
Cannabis,17,1156071,1924011,2011,41.94727792,-87.70172578,"(41.947278, -87.701726)"
Heroin,11,1155526,1895494,2001,41.8690358,-87.70449752,"(41.869036, -87.704498)"
Cannabis,25,1150133,1908752,2013,41.90552388,-87.72395104,"(41.905524, -87.723951)"
Heroin,11,1150900,1905395,2003,41.89629695,-87.72122156,"(41.896297, -87.721222)"
Cannabis,11,1156862,1897226,2005,41.87376163,-87.69954577,"(41.873762, -87.699546)"
Cannabis,5,1178425,1830052,2007,41.68896519,-87.62241648,"(41.688965, -87.622416)"
Cannabis,19,1170221,1931900,2003,41.96862768,-87.64948295,"(41.968628, -87.649483)"
Cannabis,3,1180633,1865098,2012,41.78508525,-87.61325964,"(41.785085, -87.61326)"
Cannabis,6,1168062,1851530,2008,41.74813254,-87.65973988,"(41.748133, -87.65974)"
Crack,18,1172768,1906610,2008,41.89917477,-87.64086888,"(41.899175, -87.640869)"
Cocaine,8,1156510,1861191,2015,41.7748842,-87.70181063,"(41.774884, -87.701811)"
Cannabis,15,1139306,1899471,2014,41.88025984,-87.76394903,"(41.88026, -87.763949)"
Crack,9,1170533,1870174,2004,41.7992405,-87.65014261,"(41.799241, -87.650143)"
Crack,9,1175638,1876714,2003,41.81707401,-87.63122548,"(41.817074, -87.631225)"
Heroin,12,1167904,1894367,2010,41.86568541,-87.65908741,"(41.865685, -87.659087)"
Heroin,15,1143545,1899209,2002,41.87946265,-87.74839024,"(41.879463, -87.74839)"
Cannabis,4,1190233,1853270,2008,41.75240225,-87.578443,"(41.752402, -87.578443)"
Cannabis,15,1144226,1898895,2008,41.87858823,-87.74589757,"(41.878588, -87.745898)"
Cannabis,11,1150745,1894431,2006,41.86621358,-87.72207766,"(41.866214, -87.722078)"
Cannabis,4,1196429,1819736,2004,41.66023031,-87.55684583,"(41.66023, -87.556846)"
